Year,East Asia & Pacific,Europe & Central Asia,Latin America & Caribbean,Middle East & North Africa,North America,South Asia,Sub-Saharan Africa
1996,9121098,15796067,1526337.3,245630.16,46273300,523995.63,412235.94
1997,21433646,28855642,3062660,676369.25,63492716,786485.75,793491.19
1998,37775384,46741868,6275913,1476618.6,90580024,1562359.3,1480821.5
1999,69031400,79586128,10636173,2840093.3,111092336,3079257.5,2338062.3
2000,114411096,113651216,20529908,5335063.5,137339792,6568352,3346164.3
2001,149704016,141667168,30145118,6669439,158568848,9364691,4404465.5
2002,187232864,199505616,48072228,12293885,188422048,21009870,5836959
2003,221344672,246049616,61881540,17099494,199351360,26939710,8017975.5
2004,266393472,281550304,80010728,28379684,210753088,32468616,11179489
2005,312472896,307425376,93593520,33809724,224042144,38477012,15588604
2006,356616928,333382080,118301200,41735356,229295552,45792896,22919702
2007,448706208,383639584,136830656,54381972,250048544,61932816,29542962
2008,549420416,417656992,154885088,69223744,250578896,69880656,46463908
2009,646374720,447800928,183600208,81528168,244851552,82794544,58850300
2010,754627776,498933824,207803088,95786264,249116528,117372184,85416360
2011,829140032,525517184,238327424,108924224,245896880,155163472,108736208
2012,910465856,568226496,264581888,125402784,263516048,192828384,134855712
2013,994101440,597322112,286630816,141691952,256106192,233430464,162368064
2014,1058220032,628357376,305474304,165313744,263777120,331627840,190740752
2015,1135598208,651396608,344699296,185348464,271351008,412109408,224100224
